id,state,country,updated,confirmed,suspected,recovered,deaths
0,Shanghai,China,1/21/2020,9.0,10.0,0.0,0.0
1,Yunnan,China,1/21/2020,1.0,0.0,0.0,0.0
2,Beijing,China,1/21/2020,10.0,0.0,0.0,0.0
3,Taiwan,Taiwan,1/21/2020,1.0,0.0,0.0,0.0
4,Jilin,China,1/21/2020,0.0,1.0,0.0,0.0
5,Sichuan,China,1/21/2020,2.0,1.0,0.0,0.0
6,Tianjin,China,1/21/2020,2.0,0.0,0.0,0.0
7,Ningxia,China,1/21/2020,0.0,1.0,0.0,0.0
8,Anhui,China,1/21/2020,0.0,3.0,0.0,0.0
9,Shandong,China,1/21/2020,1.0,0.0,0.0,0.0
10,Guangdong,China,1/21/2020,17.0,4.0,0.0,0.0
11,Guangxi,China,1/21/2020,0.0,1.0,0.0,0.0
12,Jiangxi,China,1/21/2020,2.0,0.0,0.0,0.0
13,Henan,China,1/21/2020,1.0,0.0,0.0,0.0
14,Zhejiang,China,1/21/2020,5.0,16.0,0.0,0.0
15,Hainan,China,1/21/2020,0.0,1.0,0.0,0.0
16,Hubei,China,1/21/2020,270.0,11.0,0.0,0.0
17,Hunan,China,1/21/2020,1.0,0.0,0.0,0.0
18,Guizhou,China,1/21/2020,0.0,1.0,0.0,0.0
19,Liaoning,China,1/21/2020,0.0,1.0,0.0,0.0
20,Chongqing,China,1/21/2020,5.0,0.0,0.0,0.0
21,Hong Kong,Hong Kong,1/21/2020,0.0,117.0,0.0,0.0
22,Heilongjiang,China,1/21/2020,0.0,1.0,0.0,0.0
23,0,Japan,1/21/2020,1.0,0.0,0.0,0.0
24,0,Thailand,1/21/2020,2.0,0.0,0.0,0.0
25,0,South Korea,1/21/2020,1.0,0.0,0.0,0.0
26,Washington,United States,1/21/2020,1.0,0.0,0.0,0.0
27,Anhui,China,1/22/2020 12:00,1.0,4.0,0.0,0.0
28,Beijing,China,1/22/2020 12:00,14.0,0.0,0.0,0.0
