country,updated,confirmed,deaths,recovered
United Arab Emirates,4/1/20,53,1,0
United Arab Emirates,4/2/20,0,0,0
United Arab Emirates,4/3/20,360,2,0
United Arab Emirates,4/4/20,0,0,0
United Arab Emirates,4/5/20,481,2,0
United Arab Emirates,4/6/20,294,0,0
United Arab Emirates,4/7/20,277,1,0
United Arab Emirates,4/8/20,283,1,0
United Arab Emirates,4/9/20,300,0,0
United Arab Emirates,4/10/20,331,2,0
United Arab Emirates,4/11/20,370,2,0
United Arab Emirates,4/12/20,376,4,0
United Arab Emirates,4/13/20,387,2,0
United Arab Emirates,4/14/20,398,3,0
United Arab Emirates,4/15/20,412,3,0
United Arab Emirates,4/16/20,432,5,0
United Arab Emirates,4/17/20,460,0,0
United Arab Emirates,4/18/20,0,2,0
United Arab Emirates,4/19/20,477,2,0
United Arab Emirates,4/20/20,479,4,0
United Arab Emirates,4/21/20,484,2,0
United Arab Emirates,4/22/20,490,3,0
United Arab Emirates,4/23/20,483,6,0
United Arab Emirates,4/24/20,518,4,0
United Arab Emirates,4/25/20,525,8,0
United Arab Emirates,4/26/20,532,0,0
Argentina,4/1/20,0,0,0
Argentina,4/2/20,167,7,0
Argentina,4/3/20,0,3,0
Argentina,4/4/20,132,3,0
Argentina,4/5/20,186,6,0
Argentina,4/6/20,103,3,0
Argentina,4/7/20,74,7,0
Argentina,4/8/20,87,7,0
Argentina,4/9/20,80,5,0
Argentina,4/10/20,99,14,0
Argentina,4/11/20,81,3,0
Argentina,4/12/20,162,7,0
Argentina,4/13/20,66,6,0
Argentina,4/14/20,69,3,0
Argentina,4/15/20,160,7,0
Argentina,4/16/20,0,4,0
Argentina,4/17/20,128,6,0
Argentina,4/18/20,98,7,0
Argentina,4/19/20,170,10,0
Argentina,4/20/20,102,2,0
Argentina,4/21/20,90,8,0
Argentina,4/22/20,112,9,0
Argentina,4/23/20,144,8,0
Argentina,4/24/20,147,6,0
Argentina,4/25/20,0,2,0
Argentina,4/26/20,344,18,0
Australia,1/25/20,1,0,0
Australia,1/26/20,3,0,0
Australia,1/27/20,0,0,0
Australia,1/28/20,0,0,0
Australia,1/29/20,0,0,0
Australia,1/30/20,2,0,0
Australia,1/31/20,1,0,0
Australia,2/1/20,2,0,0
Australia,2/2/20,2,0,0
Australia,2/3/20,0,0,0
Australia,2/4/20,0,0,0
Australia,2/5/20,1,0,0
Australia,2/6/20,1,0,0
Australia,2/7/20,1,0,0
Australia,2/8/20,0,0,0
Australia,2/9/20,0,0,0
Australia,2/10/20,0,0,0
Australia,2/11/20,0,0,0
Australia,2/12/20,0,0,0
Australia,2/13/20,0,0,0
Australia,2/14/20,1,0,0
Australia,2/15/20,0,0,0
Australia,2/16/20,0,0,0
Australia,2/17/20,0,0,0
Australia,2/18/20,0,0,0
Australia,2/19/20,0,0,0
Australia,2/20/20,0,0,0
Australia,2/21/20,2,0,0
Australia,2/22/20,4,0,0
Australia,2/23/20,1,0,0
Australia,2/24/20,0,0,0
Australia,2/25/20,0,0,0
Australia,2/26/20,0,0,0
Australia,2/27/20,1,0,0
Australia,2/28/20,0,0,0
Australia,2/29/20,2,0,0
Australia,3/1/20,1,1,0
Australia,3/2/20,3,0,0
Australia,3/3/20,4,0,0
Australia,3/4/20,8,0,0
Australia,3/5/20,11,1,0
Australia,3/6/20,7,0,0
Australia,3/7/20,4,0,0
Australia,3/8/20,11,1,0
Australia,3/9/20,6,0,0
Australia,3/10/20,20,0,0
Australia,3/11/20,12,0,0
Australia,3/12/20,14,0,0
Australia,3/13/20,30,0,0
Australia,3/14/20,41,0,0
Australia,3/15/20,52,0,0
Australia,3/16/20,49,2,0
Australia,3/17/20,77,0,0
Australia,3/18/20,79,0,0
Australia,3/19/20,111,1,0
Australia,3/20/20,144,0,0
Australia,3/21/20,165,1,0
