iso_code,country,updated,confirmed,deaths
ABW,Aruba,04/01/20,5,0
ABW,Aruba,04/02/20,0,0
ABW,Aruba,04/03/20,5,0
ABW,Aruba,04/04/20,2,0
ABW,Aruba,04/05/20,2,0
ABW,Aruba,04/06/20,0,0
ABW,Aruba,04/07/20,7,0
ABW,Aruba,04/08/20,3,0
ABW,Aruba,04/09/20,3,0
ABW,Aruba,04/10/20,5,0
ABW,Aruba,04/11/20,4,0
ABW,Aruba,04/12/20,6,0
ABW,Aruba,04/13/20,0,0
ABW,Aruba,04/14/20,0,0
ABW,Aruba,04/15/20,0,0
ABW,Aruba,04/16/20,1,1
ABW,Aruba,04/17/20,2,0
ABW,Aruba,04/18/20,1,1
ABW,Aruba,04/19/20,0,0
ABW,Aruba,04/20/20,1,0
ABW,Aruba,04/21/20,0,0
ABW,Aruba,04/22/20,0,0
ABW,Aruba,04/23/20,3,0
ABW,Aruba,04/24/20,0,0
ABW,Aruba,04/25/20,0,0
ABW,Aruba,04/26/20,0,0
AFG,Afghanistan,04/01/20,25,0
AFG,Afghanistan,04/02/20,26,0
AFG,Afghanistan,04/03/20,43,0
AFG,Afghanistan,04/04/20,0,0
AFG,Afghanistan,04/05/20,35,1
AFG,Afghanistan,04/06/20,29,2
AFG,Afghanistan,04/07/20,38,0
AFG,Afghanistan,04/08/20,30,4
AFG,Afghanistan,04/09/20,56,3
AFG,Afghanistan,04/10/20,61,1
AFG,Afghanistan,04/11/20,37,0
AFG,Afghanistan,04/12/20,34,3
AFG,Afghanistan,04/13/20,52,0
AFG,Afghanistan,04/14/20,58,3
AFG,Afghanistan,04/15/20,49,2
AFG,Afghanistan,04/16/20,70,2
AFG,Afghanistan,04/17/20,10,4
AFG,Afghanistan,04/18/20,51,1
AFG,Afghanistan,04/19/20,63,0
AFG,Afghanistan,04/20/20,88,3
AFG,Afghanistan,04/21/20,35,2
AFG,Afghanistan,04/22/20,61,1
AFG,Afghanistan,04/23/20,84,4
AFG,Afghanistan,04/24/20,105,2
AFG,Afghanistan,04/25/20,70,1
AFG,Afghanistan,04/26/20,112,4
AGO,Angola,04/01/20,0,0
AGO,Angola,04/02/20,1,0
AGO,Angola,04/03/20,0,0
AGO,Angola,04/04/20,0,0
AGO,Angola,04/05/20,2,0
AGO,Angola,04/06/20,4,0
AGO,Angola,04/07/20,2,0
AGO,Angola,04/08/20,1,0
AGO,Angola,04/09/20,2,0
AGO,Angola,04/10/20,0,0
AGO,Angola,04/11/20,0,0
AGO,Angola,04/12/20,0,0
AGO,Angola,04/13/20,0,0
AGO,Angola,04/14/20,0,0
AGO,Angola,04/15/20,0,0
AGO,Angola,04/16/20,0,0
AGO,Angola,04/17/20,0,0
AGO,Angola,04/18/20,0,0
AGO,Angola,04/19/20,5,0
AGO,Angola,04/20/20,0,0
AGO,Angola,04/21/20,0,0
AGO,Angola,04/22/20,0,0
AGO,Angola,04/23/20,0,0
AGO,Angola,04/24/20,1,0
AGO,Angola,04/25/20,0,0
AGO,Angola,04/26/20,0,0
AIA,Anguilla,04/01/20,0,0
AIA,Anguilla,04/02/20,0,0
AIA,Anguilla,04/03/20,1,0
AIA,Anguilla,04/04/20,0,0
AIA,Anguilla,04/05/20,0,0
AIA,Anguilla,04/06/20,0,0
AIA,Anguilla,04/07/20,0,0
AIA,Anguilla,04/08/20,0,0
AIA,Anguilla,04/09/20,0,0
AIA,Anguilla,04/10/20,0,0
AIA,Anguilla,04/11/20,0,0
AIA,Anguilla,04/12/20,0,0
AIA,Anguilla,04/13/20,0,0
AIA,Anguilla,04/14/20,0,0
AIA,Anguilla,04/15/20,0,0
AIA,Anguilla,04/16/20,0,0
AIA,Anguilla,04/17/20,0,0
AIA,Anguilla,04/18/20,0,0
AIA,Anguilla,04/19/20,0,0
AIA,Anguilla,04/20/20,0,0
AIA,Anguilla,04/21/20,0,0
AIA,Anguilla,04/22/20,0,0
AIA,Anguilla,04/23/20,0,0
AIA,Anguilla,04/24/20,0,0
AIA,Anguilla,04/25/20,0,0
AIA,Anguilla,04/26/20,0,0
ALB,Albania,04/01/20,20,3
ALB,Albania,04/02/20,16,0
ALB,Albania,04/03/20,18,1
ALB,Albania,04/04/20,27,1
ALB,Albania,04/05/20,29,2
ALB,Albania,04/06/20,28,2
ALB,Albania,04/07/20,16,1
ALB,Albania,04/08/20,6,0
ALB,Albania,04/09/20,17,0
ALB,Albania,04/10/20,9,1
ALB,Albania,04/11/20,7,0
ALB,Albania,04/12/20,17,0
ALB,Albania,04/13/20,13,0
ALB,Albania,04/14/20,21,0
ALB,Albania,04/15/20,8,1
ALB,Albania,04/16/20,19,1
ALB,Albania,04/17/20,24,1
ALB,Albania,04/18/20,21,0
ALB,Albania,04/19/20,9,0
ALB,Albania,04/20/20,14,0
ALB,Albania,04/21/20,22,0
ALB,Albania,04/22/20,25,0
ALB,Albania,04/23/20,25,1
ALB,Albania,04/24/20,29,0
ALB,Albania,04/25/20,15,0
ALB,Albania,04/26/20,34,0
AND,Andorra,04/01/20,6,4
AND,Andorra,04/02/20,14,2
AND,Andorra,04/03/20,38,1
AND,Andorra,04/04/20,11,1
AND,Andorra,04/05/20,27,1
AND,Andorra,04/06/20,35,1
AND,Andorra,04/07/20,25,3
AND,Andorra,04/08/20,19,1
AND,Andorra,04/09/20,19,1
AND,Andorra,04/10/20,19,2
AND,Andorra,04/11/20,18,1
AND,Andorra,04/12/20,21,2
AND,Andorra,04/13/20,16,1
AND,Andorra,04/14/20,8,0
AND,Andorra,04/15/20,13,2
AND,Andorra,04/16/20,14,2
AND,Andorra,04/17/20,9,0
AND,Andorra,04/18/20,14,2
AND,Andorra,04/19/20,8,0
AND,Andorra,04/20/20,9,1
AND,Andorra,04/21/20,4,0
AND,Andorra,04/22/20,0,1
AND,Andorra,04/23/20,6,0
AND,Andorra,04/24/20,1,0
AND,Andorra,04/25/20,7,3
AND,Andorra,04/26/20,2,0
ARE,United Arab Emirates,04/01/20,53,1
ARE,United Arab Emirates,04/02/20,0,0
ARE,United Arab Emirates,04/03/20,360,2
ARE,United Arab Emirates,04/04/20,0,0
ARE,United Arab Emirates,04/05/20,481,2
ARE,United Arab Emirates,04/06/20,294,0
ARE,United Arab Emirates,04/07/20,277,1
ARE,United Arab Emirates,04/08/20,283,1
ARE,United Arab Emirates,04/09/20,300,0
ARE,United Arab Emirates,04/10/20,331,2
ARE,United Arab Emirates,04/11/20,370,2
ARE,United Arab Emirates,04/12/20,376,4
ARE,United Arab Emirates,04/13/20,387,2
ARE,United Arab Emirates,04/14/20,398,3
ARE,United Arab Emirates,04/15/20,412,3
ARE,United Arab Emirates,04/16/20,432,5
ARE,United Arab Emirates,04/17/20,460,0
ARE,United Arab Emirates,04/18/20,0,2
ARE,United Arab Emirates,04/19/20,477,2
ARE,United Arab Emirates,04/20/20,479,4
ARE,United Arab Emirates,04/21/20,484,2
ARE,United Arab Emirates,04/22/20,490,3
ARE,United Arab Emirates,04/23/20,483,6
ARE,United Arab Emirates,04/24/20,518,4
ARE,United Arab Emirates,04/25/20,525,8
ARE,United Arab Emirates,04/26/20,532,0
ARG,Argentina,04/01/20,0,0
ARG,Argentina,04/02/20,167,7
ARG,Argentina,04/03/20,0,3
ARG,Argentina,04/04/20,132,3
ARG,Argentina,04/05/20,186,6
ARG,Argentina,04/06/20,103,3
ARG,Argentina,04/07/20,74,7
ARG,Argentina,04/08/20,87,7
ARG,Argentina,04/09/20,80,5
ARG,Argentina,04/10/20,99,14
ARG,Argentina,04/11/20,81,3
ARG,Argentina,04/12/20,162,7
ARG,Argentina,04/13/20,66,6
ARG,Argentina,04/14/20,69,3
ARG,Argentina,04/15/20,160,7
ARG,Argentina,04/16/20,0,4
ARG,Argentina,04/17/20,128,6
ARG,Argentina,04/18/20,98,7
ARG,Argentina,04/19/20,170,10
ARG,Argentina,04/20/20,102,2
ARG,Argentina,04/21/20,90,8
ARG,Argentina,04/22/20,112,9
ARG,Argentina,04/23/20,144,8
ARG,Argentina,04/24/20,147,6
ARG,Argentina,04/25/20,0,2
ARG,Argentina,04/26/20,344,18
ARM,Armenia,04/01/20,50,0
ARM,Armenia,04/02/20,39,0
ARM,Armenia,04/03/20,92,1
ARM,Armenia,04/04/20,73,3
ARM,Armenia,04/05/20,34,0
ARM,Armenia,04/06/20,52,0
ARM,Armenia,04/07/20,11,1
ARM,Armenia,04/08/20,20,0
ARM,Armenia,04/09/20,28,1
ARM,Armenia,04/10/20,40,1
ARM,Armenia,04/11/20,16,1
ARM,Armenia,04/12/20,30,2
ARM,Armenia,04/13/20,46,0
ARM,Armenia,04/14/20,26,1
ARM,Armenia,04/15/20,72,3
ARM,Armenia,04/16/20,48,1
ARM,Armenia,04/17/20,42,1
ARM,Armenia,04/18/20,47,1
ARM,Armenia,04/19/20,43,0
ARM,Armenia,04/20/20,48,2
ARM,Armenia,04/21/20,62,2
ARM,Armenia,04/22/20,72,0
ARM,Armenia,04/23/20,50,0
ARM,Armenia,04/24/20,73,3
ARM,Armenia,04/25/20,81,1
ARM,Armenia,04/26/20,69,0
ATG,Antigua and Barbuda,04/01/20,0,0
ATG,Antigua and Barbuda,04/02/20,0,0
ATG,Antigua and Barbuda,04/03/20,2,0
ATG,Antigua and Barbuda,04/04/20,6,0
ATG,Antigua and Barbuda,04/05/20,0,0
ATG,Antigua and Barbuda,04/06/20,0,0
ATG,Antigua and Barbuda,04/07/20,0,0
ATG,Antigua and Barbuda,04/08/20,0,0
ATG,Antigua and Barbuda,04/09/20,0,0
ATG,Antigua and Barbuda,04/10/20,4,2
ATG,Antigua and Barbuda,04/11/20,2,0
ATG,Antigua and Barbuda,04/12/20,0,0
ATG,Antigua and Barbuda,04/13/20,0,0
ATG,Antigua and Barbuda,04/14/20,2,0
ATG,Antigua and Barbuda,04/15/20,0,0
ATG,Antigua and Barbuda,04/16/20,0,0
ATG,Antigua and Barbuda,04/17/20,0,0
ATG,Antigua and Barbuda,04/18/20,0,0
ATG,Antigua and Barbuda,04/19/20,0,0
ATG,Antigua and Barbuda,04/20/20,0,0
