https://ourworldindata.org/coronavirus-source-data,,,,,,,,,,,,,,,,
iso_code,country,updated,total_cases,confirmed,total_deaths,deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,recovered
ABW,Aruba,3/13/20,2,2,0,0,18.733,18.733,0,0,,,,,,
ABW,Aruba,3/20/20,4,2,0,0,37.465,18.733,0,0,,,,,,
ABW,Aruba,3/24/20,12,8,0,0,112.395,74.93,0,0,,,,,,
ABW,Aruba,3/25/20,17,5,0,0,159.227,46.831,0,0,,,,,,
ABW,Aruba,3/26/20,19,2,0,0,177.959,18.733,0,0,,,,,,
ABW,Aruba,3/27/20,28,9,0,0,262.256,84.296,0,0,,,,,,
ABW,Aruba,3/28/20,28,0,0,0,262.256,0,0,0,,,,,,
ABW,Aruba,3/29/20,28,0,0,0,262.256,0,0,0,,,,,,
ABW,Aruba,3/30/20,50,22,0,0,468.314,206.058,0,0,,,,,,
ABW,Aruba,4/1/20,55,5,0,0,515.145,46.831,0,0,,,,,,
ABW,Aruba,4/2/20,55,0,0,0,515.145,0,0,0,,,,,,
ABW,Aruba,4/3/20,60,5,0,0,561.977,46.831,0,0,,,,,,
ABW,Aruba,4/4/20,62,2,0,0,580.709,18.733,0,0,,,,,,
ABW,Aruba,4/5/20,64,2,0,0,599.442,18.733,0,0,,,,,,
ABW,Aruba,4/6/20,64,0,0,0,599.442,0,0,0,,,,,,
ABW,Aruba,4/7/20,71,7,0,0,665.006,65.564,0,0,,,,,,
ABW,Aruba,4/8/20,74,3,0,0,693.105,28.099,0,0,,,,,,
ABW,Aruba,4/9/20,77,3,0,0,721.203,28.099,0,0,,,,,,
ABW,Aruba,4/10/20,82,5,0,0,768.035,46.831,0,0,,,,,,
ABW,Aruba,4/11/20,86,4,0,0,805.5,37.465,0,0,,,,,,
ABW,Aruba,4/12/20,92,6,0,0,861.698,56.198,0,0,,,,,,
ABW,Aruba,4/13/20,92,0,0,0,861.698,0,0,0,,,,,,
ABW,Aruba,4/14/20,92,0,0,0,861.698,0,0,0,,,,,,
ABW,Aruba,4/15/20,92,0,0,0,861.698,0,0,0,,,,,,
ABW,Aruba,4/16/20,93,1,1,1,871.064,9.366,9.366,9.366,,,,,,
ABW,Aruba,4/17/20,95,2,1,0,889.796,18.733,9.366,0,,,,,,
ABW,Aruba,4/18/20,96,1,2,1,899.163,9.366,18.733,9.366,,,,,,
ABW,Aruba,4/19/20,96,0,2,0,899.163,0,18.733,0,,,,,,
ABW,Aruba,4/20/20,97,1,2,0,908.529,9.366,18.733,0,,,,,,
ABW,Aruba,4/21/20,97,0,2,0,908.529,0,18.733,0,,,,,,
ABW,Aruba,4/22/20,97,0,2,0,908.529,0,18.733,0,,,,,,
ABW,Aruba,4/23/20,100,3,2,0,936.628,28.099,18.733,0,,,,,,
ABW,Aruba,4/24/20,100,0,2,0,936.628,0,18.733,0,,,,,,
ABW,Aruba,4/25/20,100,0,2,0,936.628,0,18.733,0,,,,,,
ABW,Aruba,4/26/20,100,0,2,0,936.628,0,18.733,0,,,,,,
AFG,Afghanistan,12/31/19,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/1/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/2/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/3/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/4/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/5/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/6/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/7/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/8/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/9/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/10/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/11/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/12/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/13/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/14/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/15/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/16/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/17/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/18/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/19/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/20/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/21/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/22/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/23/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/24/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/25/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/26/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/27/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/28/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/29/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/30/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,1/31/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/1/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/2/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/3/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/4/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/5/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/6/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/7/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/8/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/9/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/10/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/11/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/12/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/13/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/14/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/15/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/16/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/17/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/18/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/19/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/20/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/21/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/22/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/23/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/24/20,0,0,0,0,0,0,0,0,,,,,,
AFG,Afghanistan,2/25/20,1,1,0,0,0.026,0.026,0,0,,,,,,
AFG,Afghanistan,2/26/20,1,0,0,0,0.026,0,0,0,,,,,,
AFG,Afghanistan,2/27/20,1,0,0,0,0.026,0,0,0,,,,,,
